,ID,Tên quán,Đánh giá,Sáng/Trưa/Tối,Giờ mở cửa,Giá tiền,Địa chỉ,Media,Lat,Lon,TestLat,TestLon
,E047,Quán Lẩu Nướng Khói BBQ Đà Lạt,4.0,Trưa/Tối,10:00 - 22:30,200.000 - 300.000,"178 Đường Bùi Thị Xuân, Phường 2, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@banandalat/video/7546812174870580488?is_from_webapp=1&sender_device=pc&web_id=7556174144980862472,"11,9495289","108,4389154","11,9495289","108,4389154"
,E048,Cơm chay Thanh Đạm,4.2,Sáng/Trưa/Tối,06:30 - 18:30,100.000,"99C Nguyễn Văn Trỗi, Phường 2, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@dalatmoingongach/video/7257454796444142854?is_from_webapp=1&sender_device=pc&web_id=7556174144980862472,"11,9495522","108,4375936","11,9495522","108,4375936"
,E049,CHAY corner in Dalat - Vietnamese Dumplings,4.7,Sáng/Trưa/Tối,07:30 - 21:30,100.000,"91 Nguyễn Văn Trỗi, Phường 2, Đà Lạt, Lâm Đồng 660000, Việt Nam",https://www.tiktok.com/@chaycorner.vn/video/7552411978795437332?is_from_webapp=1&sender_device=pc&web_id=7556174144980862472,"11,9488086","108,437354","11,9488086","10,8437354"
,E050,Phở xào Lâm,4.6,Trưa/Tối,15:30 - 23:00,100.000,"97 Nguyễn Văn Trỗi, Phường 2, Đà Lạt, Lâm Đồng 670000, Việt Nam",https://www.tiktok.com/@reviewdalatdiaphuong/video/7489065823898848518?is_from_webapp=1&sender_device=pc&web_id=7556174144980862472,"11,9491381","108,4378249","11,9491381","108,4378249"
,E051,Bột Chiên A Tỷ,4.5,Trưa/Tối,15:00 - 21:30,100.000,"172 Nguyễn Văn Trỗi, Phường 2, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@chamchamrevieww/video/7321750672225881362?is_from_webapp=1&sender_device=pc&web_id=7556174144980862472,"11,9494553","108,4360491","11,9494553","108,4360491"
,E052,Kami bán hỏi thịt nướng,5.0,Sáng/Trưa/Tối,Cả ngày,50.000,"107a Nguyễn Văn Trỗi, Phường 2, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@kami.banhhoithitnuong/video/7556936357990403346?is_from_webapp=1&sender_device=pc&web_id=7556174144980862472,"11,9493942","108,4370671","11,9493942","108,4370671"
,E053,Hủ tiếu dì sáu,4.3,Sáng/Trưa,07:00 - 11:00,100.000,"22 Đường Võ Thị Sáu, Phường 2, Đà Lạt, Lâm Đồng, Việt Nam",https://vt.tiktok.com/ZSUw5cdDv/,"11,9486662","108,4384781","11,9486662","108,4384781"
,E054,Cơm Củi Đà Lạt (118 Bùi Thị Xuân),4.6,Sáng/Trưa/Tối,08:00 - 22:00,100.000 - 200.000,"118 Đường Bùi Thị Xuân, Phường 2, Đà Lạt, Lâm Đồng 67000, Việt Nam",https://vt.tiktok.com/ZSUw5qJtS/,"11,9480844","108,4397556","11,9480844","108,4397556"
,E055,ẾCH NGON - Cháo Ếch Đà Lạt,4.6,Trưa/Tối,10:30 - 21:00,100.000,"110 Đường Bùi Thị Xuân, Phường 2, Đà Lạt, Lâm Đồng 66000, Việt Nam",https://vt.tiktok.com/ZSUw5mn85/,"11,9479815","108,4399054","11,9479815","108,4399054"
,E056,Quán cơm chay An Lạc Tâm,4.1,Sáng/Trưa/Tối,06:00 - 22:00,100.000,"104 Đường Bùi Thị Xuân, Phường 2, Đà Lạt, Lâm Đồng, Việt Nam",https://vt.tiktok.com/ZSUwPT5TQ/,"11,9478794","108,440042","11,9478794","10,8440042"
,E057,Quán Bún Bò Huế O Lịch,3.9,Sáng/Trưa/Tối,05:30 - 19:00,100.000,"94 Đường Bùi Thị Xuân, Phường 2, Đà Lạt, Lâm Đồng, Việt Nam",https://vt.tiktok.com/ZSUwPmjt1/,"11,9475322","108,4405789","11,9475322","108,4405789"
,E058,Now Restaurant - Nhà hàng Cơm Niêu - Lẩu Gia Đình Ngon Dalat,4.8,Sáng/Trưa/Tối,09:00 - 22:00,100.000 - 200.000,"5 Đường Lý Tự Trọng, Phường 2, Đà Lạt, Lâm Đồng 670000, Việt Nam",https://vt.tiktok.com/ZSUwfatAP/,"11,9445092","108,4391796","11,9445092","108,4391796"
,E059,Đà Lạt BBQ,4,Sáng/Trưa/Tối,09:00 - 23:00,200.000 - 300.000,"91 Phan Bội Châu, Phường 2, Đà Lạt, Lâm Đồng, Việt Nam",https://vt.tiktok.com/ZSUwfV6CY/,"11,9443258","108,4383683","11,9443258","108,4383683"
,E060,Cơm Đà Lạt,4.7,Sáng/Trưa/Tối,09:00 - 21:00,100.000 - 200.000,"141 Đường Bùi Thị Xuân, Phường xuân hương, Đà Lạt, Lâm Đồng, Việt Nam",https://vt.tiktok.com/ZSUwfTdfj/,"11,9480773","108,4394314","11,9480773","108,4394314"
Phường 4,E061,THỜI BÌNH Nhậu và Nướng,4.9,Trưa/Tối,11:00 - 22:30,200.000 - 300.000,"46 Đường Lê Thánh Tôn, Phường 6, Đà Lạt, Lâm Đồng 67000, Việt Nam",https://www.tiktok.com/@julepe.sheen/video/7523169735744392455,"11,9466284","108,4278713","11,9466284","108,4278713"
,E062,Quán Ăn Lý,4.9,Trưa/Tối,10:30 - 22:00,100.000,"Số 2 Đ. Mạc Đĩnh Chi, Phường 4, Đà Lạt, Lâm Đồng 66100, Việt Nam",https://maps.app.goo.gl/aypGB6JJJ2seedTz5,"11,9402421","108,4305796","11,9402421","108,4305796"
,E063,BẾP HỨA GIA,4.9,Trưa/Tối,10:00 - 20:00,100.000,"119 Đồng Tâm, Phường 4, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@nhunghua/video/7433777120012160274?q=B%E1%BA%BEP%20H%E1%BB%A8A%20GIA&t=1761703003381,"11,9346414","108,4242395","11,9346414","108,4242395"
,E064,Quán Lẩu Đà Lạt - Lẩu cá Tầm Hoàng Gia,4.8,Trưa/Tối,10:00 - 23:00,200.000 - 300.000,"42 Đ Phạm Ngũ Lão, Phường 4, Đà Lạt, Lâm Đồng, Việt Nam",https://maps.app.goo.gl/Yj27sH3jHYXDs3317,"11,9380513","108,4347469","11,9380513","108,4347469"
,E065,HoLoKy- Nướng lẩu Đà Lạt,4.8,Trưa/Tối,10:00 - 22:00,100.000 - 200.000,"70/1 Đoàn Thị Điểm, Phường 4, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@holokmrrkkg/video/7530067847234653447?q=HoLoKy-%20N%C6%B0%E1%BB%9Bng%20l%E1%BA%A9u%20%C4%90%C3%A0%20L%E1%BA%A1t&t=1761703209005,"11,9386536","108,4323064","11,9386536","108,4323064"
,E066,Lẩu dê Ngân,4.8,Trưa/Tối,10:00 - 21:30,100.000 - 300.000,"21/19 Đ. Trần Phú, Phường 3, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@laudengan_dalat/video/7435180494498598162?q=L%E1%BA%A9u%20d%C3%AA%20Ng%C3%A2n&t=1761703660800,"11,9356801","108,4348546","11,9356801","108,4348546"
,E067,Tiệm Cơm Bếp Củi - Cơm Gia Đình,4.8,Trưa,10:30 - 17:00,100.000,"16 Huyền Trân Công Chúa, Phường 4, Đà Lạt, Lâm Đồng 66000, Việt Nam",https://www.tiktok.com/@henhoangi1994/video/7430821911220735249?q=Ti%E1%BB%87m%20C%C6%A1m%20B%E1%BA%BFp%20C%E1%BB%A7i%20-%20C%C6%A1m%20Gia%20%C4%90%C3%ACnh&t=1761703700644,"11,9376274","108,42406","11,9376274","1,0842406"
,E068,Quán Ăn Ngon Đà Lạt,4.7,Trưa/Tối,11:00 - 02:00,100.000 - 300.000,"A22 Đường Trần Lê, Phường 4, Đà Lạt, Lâm Đồng 66115, Đà Lạt, Lâm Đồng 66116, Việt Nam",,"11,9376706","108,4281995","11,9376706","108,4281995"
,E069,Cơm Nhà Quê,4.7,Trưa,10:30 - 15:00,100.000,"8/2 Đ. Thiên Thành, Phường 4, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@solitude.1709/video/7127133843794054427?q=C%C6%A1m%20Nh%C3%A0%20Qu%C3%AA%20%C4%91%C3%A0%20l%E1%BA%A1t%208%2F2%20%C4%90.%20Thi%C3%AAn%20Th%C3%A0nh%2C%20Ph%C6%B0%E1%BB%9Dng%204%2C%20%C4%90%C3%A0%20L%E1%BA%A1t%2C%20L%C3%A2m%20%C4%90%E1%BB%93ng%2C%20Vi%E1%BB%87t%20Nam&t=1761704398815,"11,9394887","108,4319571","11,9394887","108,4319571"
,E070,Ẩm thực đường phố Nhật Bản,4.7,Trưa/Tối,10:30 - 22:00,100.000 - 200.000,"38 Đoàn Thị Điểm, Phường 1, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@yatai.t.2015/video/7520941208349199624?q=38%20%C4%90o%C3%A0n%20Th%E1%BB%8B%20%C4%90i%E1%BB%83m%2C%20Ph%C6%B0%E1%BB%9Dng%201%2C%20%C4%90%C3%A0%20L%E1%BA%A1t%2C%20L%C3%A2m%20%C4%90%E1%BB%93ng%2C%20Vi%E1%BB%87t%20Nam&t=1761704683544,"11,9390095","108,4332181","11,9390095","108,4332181"
,E071,Nhà Hàng KALA CÁ,4.7,Sáng/Trưa/Tối,06:00–22:00,100.000 - 200.000,"7A Đ. Huỳnh Thúc Kháng, Phường 4, Đà Lạt, Lâm Đồng 670000, Việt Nam",https://www.tiktok.com/@kalacadalat/video/7502448937542946056,"11,935087","108,4301153","1,1935087","108,4301153"
,E072,Phố Ghẹ lẩu hải sản,4.6,Sáng/Trưa/Tối,06:00–00:00,200.000 - 300.000,"4 Đoàn Thị Điểm, Phường 1, Đà Lạt, Lâm Đồng, Việt Nam",,"11,9386762","108,433945","11,9386762","10,8433945"
